timestamp,latitude,longitude,altitude,status,covariance_type,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8
1769896231522683646,43.66192233333334,-79.39413641666667,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896232530090333,43.66192233333334,-79.39413641666667,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896233518058227,43.66192233333334,-79.39413641666667,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896234531455221,43.66192233333334,-79.39413641666667,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896235509475049,43.66192233333334,-79.39413641666667,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896236535308737,43.66192233333334,-79.39413641666667,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896237521612428,43.66192233333334,-79.39413641666667,70.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
1769896238544779703,43.66192233333334,-79.39413641666667,70.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896239508292269,43.66192233333334,-79.39413641666667,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896240540536909,43.66192233333334,-79.39413641666667,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896241508974322,43.66192233333334,-79.39413641666667,70.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
1769896242542665170,43.66192233333334,-79.39413641666667,70.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896243528303245,43.66192233333334,-79.39413641666667,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896244527074805,43.66192233333334,-79.39413641666667,70.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
1769896245516584625,43.66192233333334,-79.39413641666667,70.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
1769896246537888098,43.66192233333334,-79.39413641666667,70.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
1769896247513609099,43.66192233333334,-79.39413641666667,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896248568063564,43.66192233333334,-79.39413641666667,70.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896249536372054,43.661920183333336,-79.39414595,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896250564946976,43.661917433333336,-79.39415918333333,70.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896251535344772,43.661914333333335,-79.39417695,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896252551042732,43.661913033333335,-79.39418995,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
