timestamp,latitude,longitude,altitude,status,covariance_type,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8
1769896509537622914,43.66153025,-79.39608108333333,70.0,0,1,1.2100000000000002,0.0,0.0,0.0,1.2100000000000002,0.0,0.0,0.0,4.840000000000001
1769896510574209256,43.66153025,-79.39608108333333,69.0,0,1,1.2100000000000002,0.0,0.0,0.0,1.2100000000000002,0.0,0.0,0.0,4.840000000000001
1769896511551998103,43.66153025,-79.39608108333333,70.0,0,1,2.5600000000000005,0.0,0.0,0.0,2.5600000000000005,0.0,0.0,0.0,10.240000000000002
1769896512568722003,43.66153025,-79.39608108333333,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896513535756341,43.66153025,-79.39608108333333,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896514551982724,43.66153025,-79.39608108333333,70.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896515550272892,43.661522733333335,-79.39607798333333,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896516578578176,43.66151153333333,-79.39607321666666,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896517517614679,43.661496516666666,-79.39606713333333,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896518568419520,43.66148543333333,-79.3960626,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896519520892108,43.66147445,-79.39605878333333,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896520574967825,43.661463966666666,-79.39605533333334,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896521547791736,43.661453116666664,-79.39605175,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896522562546192,43.66144203333333,-79.39604698333333,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896523541254427,43.6614307,-79.3960409,70.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
