Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1774725869.5739374,22435,1774725869,573105212,imu_link,-0.9512595924022341,0.30835029519731705,0.0042426535767364085,0.002698741390063482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021110629967497413,0.0026287451061837793,0.0003549476099780868,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,-0.11597344481277466,-0.029057104429244994,-9.801256504154205,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06
1774725869.5778835,22436,1774725869,577105212,imu_link,-0.9512638055295699,0.3083362315374712,0.004332296391924938,0.002678025138763795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001985853076211668,0.0016149706101628732,0.000136973439696515,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,-0.10991293501281738,-0.02606607612991333,-9.827842332742692,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06
1774725869.581844,22437,1774725869,581105212,imu_link,-0.9512684075713779,0.3083207939330018,0.004432771376442811,0.0026561858110178103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003198979079395367,0.00131737451940532,0.0002884331121845829,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,-0.11279609016036987,-0.028370638917922974,-9.820271598817826,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06
1774725869.5858848,22438,1774725869,585105212,imu_link,-0.9512716870701983,0.3083098484205656,0.004502322393266917,0.002635116425099303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021313786292429552,0.0029951595293474693,0.0002560223479750482,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,-0.11052094732284547,-0.020848938243865967,-9.803943526298523,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06
1774725869.5898886,22439,1774725869,589105212,imu_link,-0.9512699834202962,0.30831531842488036,0.0044891886175311545,0.0026325374964388253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017381559487686328,0.002197910580328979,0.001133853148558116,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,-0.10360725895881652,-0.015278760951995849,-9.795558840410232,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06
1774725869.593808,22440,1774725869,593105212,imu_link,-0.9512682074569367,0.3083207687714844,0.004489016560505243,0.002636239015499197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002348846654041449,0.0015745836912717244,0.001167223843856248,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,-0.11484568004417418,-0.018338435802459717,-9.784761718582153,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06
1774725869.5978816,22441,1774725869,597105212,imu_link,-0.9512679976215527,0.3083210512570546,0.004523886264308161,0.002619256744564859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024649983157616715,0.0014076254950259467,0.0008350527806166869,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,-0.12135729575157166,-0.004207052919387818,-9.799756086679459,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06
1774725869.6018765,22442,1774725869,601105212,imu_link,-0.9512682720022441,0.3083198917507464,0.004553391122550215,0.002604930317291351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024099506311537704,0.000842156270672304,0.0008006872476449186,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,-0.11107011973190307,-0.011346294237136841,-9.763108635025024,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06
1774725869.6058621,22443,1774725869,605105212,imu_link,-0.9512702005274499,0.308313159642641,0.004611335787381512,0.0025955272860162014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00269923895467183,0.0010424328023386532,-0.0005600063437949007,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,-0.12634888068389893,-0.016337879169464112,-9.767962926855088,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06
1774725869.6098804,22444,1774725869,609105212,imu_link,-0.9512739568614634,0.30830055899769576,0.004698559624787159,0.0025588779367513217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002344832396761862,0.0028247106745977026,0.0007709468371909353,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,0.0,0.0,0.0,2.7491722135750453e-06,-0.11315893621635438,-0.007325567670822144,-9.784359645925521,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06,0.0,0.0,0.0,7.53975837175367e-06
